STORE_TYPE,STORE_NAME,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,PHONE,HOURS,SNAP,SIC,NAICS_EXT,SALES_VOL,HDBRCH,NUMBER_EMP,EMPSIZ,FRNCOD,SQFT,SOURCE,POINT_X,POINT_Y,HCSI,NBHD_NAME,COUNCIL_DISTRICT,GLOBALID
Convenience Store With Gas,Conoco,,4380 W 38TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.043706,39.76913,Healthy Corner Store Initiative,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Dollar Store,Family Dollar,,3125 Federal Blvd,,Denver,CO,80211,(303) 455-4161,,,533101,452990,846000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.025716,39.761347,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Pharmacy,Botanica Yemaya,,3773 Federal Blvd,,Denver,CO,80211,(303) 477-5452,,,549913,445299,229000.0,,2.0,1 to 4,,"2,500 - 9,999",InfoGroup2014,-105.025664,39.768971,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Pharmacy,Walgreen,,2975 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.025685,39.760088,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Gluten Free Goods,,2990 Vrain St,,Denver,CO,80212,(303) 482-1183,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.046167,39.760044,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Happy Cakes,,3434 W 32ND AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.033132,39.761888,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Seafood Landing,,3457 W 32nd Ave,,Denver,CO,80211,(303) 571-1995,,,542101,445220,210000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.03384,39.762365,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,St Kilian's Cheese Shop,,3211 Lowell Blvd,,Denver,CO,80211,(303) 477-0374,,,545103,445299,159000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.034947,39.762367,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,2609 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.025683,39.75511,,Sloan Lake,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,5195 W BYRON PL,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.052879,39.7533,,Sloan Lake,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,Mile High Convenience,,2105 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.025589,39.74915,,Sloan Lake,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Diamond Shamrock,,1945 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.025661,39.747332,,Sloan Lake,Council District 1,{00000000-0000-0000-0000-000000000000}
Closed Small Grocery Store,Los Barron,,3006 W 23rd Ave,,Denver,CO,80211,(303) 412-7191,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.025578,39.751087,,Sloan Lake,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,4406 N SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.052878,39.776923,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,Tennyson Sun Mart,,4400 W 39TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.044156,39.770869,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,1st Stop,,3701 W 44TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.036113,39.776921,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Conoco,,4785 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.025622,39.783559,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Safeway Fuel,,3600 W 44TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.03491,39.776458,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Valero,,4498 N SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.05286,39.778095,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
Supermarket,Safeway,,3800 W 44th Ave,,Denver,CO,80211,(303) 458-8418,,,541105,445110,28382000.0,,110.0,100 to 249,,"40,000+",InfoGroup2014,-105.036935,39.77606,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Belfiore Genuine Italian Sausage,,3930 Lowell Blvd,,Denver,CO,80211,(303) 455-4653,,,542107,445210,1051000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.034272,39.771336,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store,Regis Convenience Store,,5001 N LOWELL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.035068,39.787585,,Regis,Council District 1,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Longmont Meats,,5115 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.026604,39.789909,,Regis,Council District 1,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,4708 N WASHINGTON ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.978175,39.782048,,Globeville,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,C Store,,4500 N WASHINGTON ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.9787,39.778773,,Globeville,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Western Convenience,,5050 Washington St,,Denver,CO,80216,(303) 297-3656,,,541105,445110,1290000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-104.977803,39.788465,,Globeville,Council District 9,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Panaderia Emmanuel,,500 E 45TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.980979,39.778179,Healthy Corner Store Initiative,Globeville,Council District 9,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Custom Superfresh Poultry,,810 E 50th Ave,,Denver,CO,80216,(303) 292-9898,,,549907,445210,343000.0,,3.0,1 to 4,,"2,500 - 9,999",InfoGroup2014,-104.975907,39.787518,,Globeville,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,El Duranguense Groceries,,4701 N Brighton Blvd,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.966802,39.78203,Healthy Corner Store Initiative,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,El Tepetate Market,,4555 Thompson Ct,,Denver,CO,80216,(303) 308-1613,,,541105,445110,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.955605,39.779865,Healthy Corner Store Initiative,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Jerry's Round The Corner,,4301 CLAYTON ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.954467,39.776557,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Stop N Shop,,2331 E 46th Ave,,Denver,CO,80216,(303) 295-7542,,,541105,445110,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.958928,39.780307,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,1670 E 47TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.967009,39.781674,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,3200 E 45TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.949351,39.778771,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Conoco,,4001 N COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.941259,39.77324,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Pilot Travel Center,,4640 N STEELE ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.948729,39.781464,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Singles Market Place,,3950 Wynkoop St,,Denver,CO,80216,(303) 295-3000,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.972962,39.774078,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Growhaus,,4751 York St,,Denver,CO,80216,(720) 502-3399,,,543102,445230,1011000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-104.959867,39.782663,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Swansea Corner Store,,3075 E 51st Ave,,Denver,CO,80216,(303) 292-2574,,,541105,445110,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.951492,39.789284,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Superette,Panaderia Y Restaurante Sanchez,,2630 E 46TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.9549,39.779655,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,I Love It Market,,900 Auraria Parkway,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.004669,39.745717,,Auraria,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Conoco/Circle K,,1500 7th St.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.010443,39.745535,,Auraria,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,2341 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.959055,39.74033,,City Park,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,3177 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.95041,39.740417,,City Park,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Conoco/Circle K,,1501 N COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.941082,39.740546,,City Park,Council District 9,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Sprouts Farmers Market,,3625 E Colfax Ave,,Denver,CO,80206,(720) 347-4205,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.945042,39.740559,,City Park,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,3400 N YORK ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.959429,39.764762,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Sahara Mini Market,,2521 Bruce Randolph Ave,,Denver,CO,80205,(303) 329-2556,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.956798,39.764601,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
Closed Convenience Store,Tommy's Market,,3119 Bruce Randolph Ave,,Denver,CO,80205,(303) 322-5194,,,541105,445110,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.950766,39.764627,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,3990 E 35TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.940962,39.765392,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
Pharmacy,Walgreen,,3555 N COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.940927,39.766607,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,A Mart Store,,3770 E 40TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.943475,39.771949,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Ben's Super Market,,2301 E 28th Ave,,Denver,CO,80205,(303) 295-2094,,,541105,445110,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.959544,39.757175,Healthy Corner Store Initiative,Skyland,Council District 9,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Frank's Food Mart,,2800 Madison St,,Denver,CO,,,,,,,,,,,,,DEH2015,-104.946272,39.757102,Healthy Corner Store Initiative,Skyland,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,La Tienda Garcia,,1620 E Bruce Randolph Ave,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.967703,39.764341,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Novedades Sanches,,1626 BRUCE RANDOLPH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.967499,39.764372,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,York Market,,3349 York St,,Denver,CO,80205,(303) 295-8996,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.960098,39.764255,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
Closed Convenience Store,Sam's Grocery - Star Sam Grocery,,1800 E 33rd Ave,,Denver,CO,80205,(303) 296-0878,,,541105,445110,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.965745,39.763116,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,K & G Store,,3550 N DOWNING ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.972978,39.766207,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
Dollar Store,Dollar Tree,,3360 Downing St,,Denver,CO,80205,(303) 291-9051,,,533101,452990,1862000.0,,11.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-104.972682,39.763938,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Abarrotes Le Herradura,,3401 N FRANKLIN ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.968654,39.764661,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Downing Supermarket,,3340 Downing St,,Denver,CO,80205,(303) 294-0319,,,541105,445110,6450000.0,,25.0,20 to 49,,"2,500 - 9,999",InfoGroup2014,-104.973289,39.764063,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
Superette,Carniceria Jalisco,,3300 Downing St,,Denver,CO,80205,(303) 296-0168,,,542107,445210,1051000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-104.972956,39.763508,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,1800 N DOWNING ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.972977,39.745014,,City Park West,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,1975 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.963824,39.740284,,City Park West,Council District 9,{00000000-0000-0000-0000-000000000000}
Closed Convenience Store,Namaste International Grcrs,,1201 E Colfax Ave,,Denver,CO,80218,(303) 832-3161,,,541105,445110,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.971789,39.740388,,City Park West,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Sinclair,,1895 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.965101,39.740322,,City Park West,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Gem Supermarket,,2958 Downing St,,Denver,CO,80205,(303) 296-1239,,,541105,445110,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.972996,39.759146,Healthy Corner Store Initiative,Whittier,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Lincoln Market,,1704 E 25th Ave,,Denver,CO,80205,(720) 390-5954,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.966959,39.753067,,Whittier,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Ma Convenience,,1736 E 31ST AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.966316,39.76056,,Whittier,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Papa's Corner Market,,1527 E 29th Ave,,Denver,CO,80205,(720) 328-5973,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.968825,39.758477,,Whittier,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,1550 COURT PL,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.989095,39.741721,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,1726 CHAMPA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.992022,39.747771,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,401 16TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.989584,39.743376,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,1800 LAWRENCE ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99371,39.750461,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,621 17TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.989758,39.746194,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,820 16TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.993922,39.746143,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Russell's,,1050 17TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.994687,39.74809,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Russell's,,201 W COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.990262,39.740486,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Russell's,,707 17th St,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.990622,39.747101,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Russell's,,600 17TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.990386,39.745491,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Russell's,,999 18TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99134,39.749204,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Dollar Store,Family Dollar,,990 Federal Blvd,,Denver,CO,80204,(303) 893-4863,,,533101,452990,846000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.024703,39.732751,,Sun Valley,Council District 3,{00000000-0000-0000-0000-000000000000}
Dollar Store,N J Trading,,830 Federal Blvd,,Denver,CO,80204,(303) 893-0854,,,533102,452990,846000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.024783,39.729954,,Sun Valley,Council District 3,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Pasteles Espinosa,,2970 W. Barberry Pl.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024107,39.730089,,Sun Valley,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store,Russell's,,1625 N BROADWAY,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.987861,39.742529,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Russell's,,1801 CALIFORNIA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.989585,39.747508,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Closed Convenience Store,Pushupati Corner Store,,327 14TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.991535,39.741172,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Pharmacy,Rite Aid,,750 16TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.993106,39.745407,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Cook's Fresh Market,,1600 GLENARM PL STE 120,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.989781,39.744014,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Walgreen,,801 16TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.993056,39.746037,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,1755 Blake St Ste 100,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.997217,39.752063,,Union Station,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Market Snacks,,1601 MARKET ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.998179,39.750697,,Union Station,Council District 9,{00000000-0000-0000-0000-000000000000}
Convenience Store,Pacific Mercantile Co,,1925 Lawrence St,,Denver,CO,80202,(303) 295-0293,,,541105,445110,4644000.0,,18.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-104.992754,39.751698,,Union Station,Council District 9,{00000000-0000-0000-0000-000000000000}
